End Time_D&T,Volume,Cost,Price,Trade Hours Duration
2019-01-01,-8033.0,344841.0,39.15695652173913,3.739130434782609
2019-01-02,-990.0,-31403.4,33.85,3.3333333333333335
2019-01-03,0.0,0.0,,
2019-01-04,0.0,0.0,,
2019-01-05,0.0,0.0,,
2019-01-06,-723.0,-12526.8,17.37333333333333,3.3333333333333335
2019-01-07,-3260.0,70785.02,-41.63444444444445,6.555555555555555
2019-01-08,-6570.0,186893.25,37.430625,5.8125
2019-01-09,-6345.0,-114789.9,24.826,6.6
2019-01-10,-1200.0,-51624.0,43.02,6.0
2019-01-11,-1621.0,-29196.8,30.16,4.333333333333333
2019-01-12,-9660.0,274789.3,38.74103448275862,3.2413793103448274
2019-01-13,4138.5,954153.55,45.41047619047619,4.619047619047619
2019-01-14,994.0,477503.6,42.809999999999995,4.545454545454546
2019-01-15,-8441.0,-121961.9,35.73166666666666,3.5833333333333335
2019-01-16,-156.0,383639.6,50.22090909090909,4.909090909090909
2019-01-17,-4704.0,-53295.492350000015,39.81354368421052,1.3421052631578947
2019-01-18,0.0,0.0,,
2019-01-19,-60.0,-2701.2,45.02,1.0
2019-01-20,0.0,0.0,,
2019-01-21,6918.8,575852.52,74.69529411764707,1.0392156862745099
2019-01-22,-1320.0,-15235.8,31.9825,2.25
2019-01-23,0.0,0.0,,
2019-01-24,0.0,0.0,,
2019-01-25,0.0,0.0,,
2019-01-26,-5742.0,193785.40000000002,37.85509433962264,1.679245283018868
2019-01-27,-14323.0,-70020.6,4.535769230769229,4.3076923076923075
2019-01-28,-9903.0,-163727.9,31.121923076923075,1.8076923076923077
2019-01-29,-896.0,-4032.0,4.5,7.0
2019-01-30,2740.5,206640.0,31.5,7.0
2019-01-31,0.0,0.0,,
2019-02-01,-988.0,-4446.0,4.5,6.0
2019-02-02,550.0,139768.2,39.106,4.0
2019-02-03,-310.0,116678.20000000001,37.012,4.4
2019-02-04,-6540.0,-34844.32000000001,32.541599999999995,1.8
2019-02-05,2594.0,239556.0,52.5,6.0
2019-02-06,-4143.3,61915.854999999996,29.063695652173916,1.826086956521739
2019-02-07,-1536.0,74707.5,35.291333333333334,1.9333333333333333
2019-02-08,-9920.3,-13582.844999999998,29.857068965517243,1.3620689655172413
2019-02-09,-8266.4,753200.95,18.063777777777776,2.5444444444444443
2019-02-10,-8949.7,48837.32000000001,17.21535714285714,2.7142857142857144
2019-02-11,-2276.0,-26997.0,20.811111111111114,1.7777777777777777
2019-02-12,-1661.6,102937.31,23.886666666666667,2.0
2019-02-13,-5977.0,-96537.6,29.038800000000002,1.52
2019-02-14,-252.5,297266.825,35.63439024390244,1.6829268292682926
2019-02-15,-2276.0,56637.3,35.027,1.6
2019-02-16,-858.0,404364.31,33.75506666666667,1.6666666666666667
2019-02-17,-13192.5,51167.1,28.007454545454546,1.6818181818181819
2019-02-18,-3858.0,176688.04,33.928363636363635,1.5636363636363637
2019-02-19,-7745.0,49592.92999999999,29.22645833333333,1.6666666666666667
2019-02-20,-9374.9,28249.735000000004,25.71551020408163,2.061224489795918
2019-02-21,-7260.0,-155408.6,31.81911764705882,1.2647058823529411
2019-02-22,-6933.0,-149968.65,31.748333333333335,1.1944444444444444
2019-02-23,-13611.0,17247.199999999997,19.952222222222222,2.4761904761904763
2019-02-24,-4717.5,23628.625000000007,32.791739130434784,2.0
2019-02-25,-1836.0,85731.4,32.15857142857143,2.0714285714285716
2019-02-26,-1332.0,84779.2,31.831666666666667,1.6666666666666667
2019-02-27,-1512.5,-13704.3,26.868000000000002,2.2
2019-02-28,770.0,134050.0,43.75,7.5
2019-03-01,-732.0,117729.4,33.444375,1.8125
2019-03-02,-6640.0,235570.25,35.40969696969697,1.621212121212121
2019-03-03,1034.5,970434.47,21.669210526315787,2.6973684210526314
2019-03-04,-7802.5,158330.825,23.578474576271187,1.4067796610169492
2019-03-05,-10289.0,10615.5,26.7452,1.68
2019-03-06,-11485.0,-67658.75,25.72222222222222,2.0555555555555554
2019-03-07,-8270.0,228323.8,21.258333333333333,1.8333333333333333
2019-03-08,-8996.9,-132883.65,19.765365853658537,1.4634146341463414
2019-03-09,-19919.9,57238.33,17.14876288659794,1.4536082474226804
2019-03-10,-18535.0,47484.88,20.34741071428571,1.5535714285714286
2019-03-11,-10965.0,429290.3,18.462857142857143,3.4523809523809526
2019-03-12,-11587.1,232170.85,28.737166666666667,2.4
2019-03-13,-16957.4,251686.33,16.84858823529412,2.0352941176470587
2019-03-14,-14164.4,224753.50999999998,3.0807894736842103,1.4473684210526316
2019-03-15,-17286.4,-31637.61,20.84151898734177,1.4430379746835442
2019-03-16,-17033.7,-171357.0,15.286516853932584,1.5730337078651686
2019-03-17,-14749.0,308986.25,10.16576923076923,1.3692307692307693
2019-03-18,-9492.8,-1144.7000000000007,17.207575757575757,2.1818181818181817
2019-03-19,-726.0,100334.7,42.96142857142858,2.857142857142857
2019-03-20,-3335.0,45066.5,34.53764705882353,1.7647058823529411
2019-03-21,-5055.0,226797.5,34.68628571428572,2.2285714285714286
2019-03-22,-5449.0,186694.15,26.125925925925927,3.185185185185185
2019-03-23,-13755.0,-163053.00000000003,28.40285714285714,1.2307692307692308
2019-03-24,-14835.0,-164808.85,25.874545454545455,1.3068181818181819
2019-03-25,-9277.0,300789.1,27.198852459016397,1.9672131147540983
2019-03-26,-4760.5,25460.850000000006,27.713333333333335,1.3333333333333333
2019-03-27,-3153.0,49983.2,32.43692307692308,1.5384615384615385
2019-03-28,-977.0,99238.8,36.384,2.3
