Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00109856,2021-04-01T01:00:00Z,2021-04-01T02:00:00Z,-210,41,-8610,T
ES00109857,2021-04-01T01:00:00Z,2021-04-01T02:00:00Z,-90,39.28,-3535.2,T
ES00109858,2021-04-01T02:00:00Z,2021-04-01T03:00:00Z,-150,37.59,-5638.5,T
ES00109859,2021-04-01T02:00:00Z,2021-04-01T03:00:00Z,-100,37.53,-3753,T
ES00109860,2021-04-01T03:00:00Z,2021-04-01T04:00:00Z,-10,39.76,-397.6,T
ES00109861,2021-04-01T04:00:00Z,2021-04-01T05:00:00Z,-100,51,-5100,F
ES00109862,2021-04-01T04:00:00Z,2021-04-01T05:00:00Z,-183,50.36,-9215.88,F
ES00109863,2021-04-01T04:00:00Z,2021-04-01T05:00:00Z,-150,48.71,-7306.5,F
ES00109864,2021-04-01T04:00:00Z,2021-04-01T05:00:00Z,-75,48.66,-3649.5,F
ES00109865,2021-04-01T04:00:00Z,2021-04-01T05:00:00Z,-92,48.2,-4434.4,F
ES00109866,2021-04-01T22:00:00Z,2021-04-02T07:00:00Z,1215,94,114210,T
ES00109867,2021-04-01T20:00:00Z,2021-04-02T06:00:00Z,-3580,6,-21480,T
ES00109868,2021-04-02T06:00:00Z,2021-04-02T12:00:00Z,-708,6,-4248,T
ES00109869,2021-04-01T21:00:00Z,2021-04-01T22:00:00Z,-150,40.36,-6054,T
ES00109870,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-50,43.96,-2198,T
ES00109871,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-50,43.09,-2154.5,T
ES00109872,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-150,42.89,-6433.5,T
ES00109873,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-25,42.71,-1067.75,T
ES00109874,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-25,42.34,-1058.5,T
ES00109875,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-50,40.32,-2016,T
ES00109876,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-100,40,-4000,T
ES00109877,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-50,39.53,-1976.5,T
ES00109878,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-100,39.52,-3952,T
ES00109879,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-150,39.09,-5863.5,T
ES00109880,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-50,38.2,-1910,T
ES00109881,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-100,37.78,-3778,T
ES00109882,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-50,37.6,-1880,T
ES00109883,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-45,37.41,-1683.45,T
ES00109884,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-150,36.73,-5509.5,T
ES00109885,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-55,36.69,-2017.95,T
ES00109886,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-50,35.39,-1769.5,T
ES00109887,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-100,35.03,-3503,T
ES00109888,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-45,34.6,-1557,T
ES00109889,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-25,33.91,-847.75,T
ES00109890,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-85,33.88,-2879.8,T
ES00109891,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-50,33.82,-1691,T
ES00109892,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-95,33.49,-3181.55,T
ES00109893,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-50,35.61,-1780.5,T
ES00109894,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-100,35.25,-3525,T
ES00109895,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-45,34.82,-1566.9,T
ES00109896,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-25,34.13,-853.25,T
ES00109897,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-85,34.1,-2898.5,T
ES00109898,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-50,33.82,-1691,T
ES00109899,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-95,33.71,-3202.45,T
ES00109900,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-50,38.35,-1917.5,T
ES00109901,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-100,37.91,-3791,T
ES00109902,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-50,37.6,-1880,T
ES00109903,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-45,37.55,-1689.75,T
ES00109904,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-85,36.83,-3130.55,T
ES00109905,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-25,36.81,-920.25,T
ES00109906,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-95,36.44,-3461.8,T
ES00109907,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-85,43.75,-3718.75,T
ES00109908,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-100,43.2,-4320,T
ES00109909,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-65,42.96,-2792.4,T
ES00109910,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-85,42.24,-3590.4,T
ES00109911,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-25,42.11,-1052.75,T
ES00109912,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-50,42.06,-2103,T
ES00109913,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-40,41.85,-1674,T
ES00109914,2021-04-02T05:00:00Z,2021-04-02T06:00:00Z,-100,48.79,-4879,T
ES00109915,2021-04-02T05:00:00Z,2021-04-02T06:00:00Z,-66,48.3,-3187.8,T
ES00109916,2021-04-02T05:00:00Z,2021-04-02T06:00:00Z,-34,47.92,-1629.28,T
ES00109917,2021-04-01T21:00:00Z,2021-04-01T22:00:00Z,-75,39.35,-2951.25,T
ES00109918,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-35,43.62,-1526.7,T
ES00109919,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-65,42.76,-2779.4,T
ES00109920,2021-04-01T22:00:00Z,2021-04-01T23:00:00Z,-50,41.76,-2088,T
ES00109921,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-35,39.94,-1397.9,T
ES00109922,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-65,39.39,-2560.35,T
ES00109923,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-65,38.64,-2511.6,T
ES00109924,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-25,38.41,-960.25,T
ES00109925,2021-04-01T23:00:00Z,2021-04-02T00:00:00Z,-35,37.85,-1324.75,T
ES00109926,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-35,37.67,-1318.45,T
ES00109927,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-65,37.24,-2420.6,T
ES00109928,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-65,36.49,-2371.85,T
ES00109929,2021-04-02T00:00:00Z,2021-04-02T01:00:00Z,-60,36.1,-2166,T
ES00109930,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-35,34.86,-1220.1,T
ES00109931,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-65,34.43,-2237.95,T
ES00109932,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-65,33.68,-2189.2,T
ES00109933,2021-04-02T01:00:00Z,2021-04-02T02:00:00Z,-60,33.36,-2001.6,T
ES00109934,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-35,35.08,-1227.8,T
ES00109935,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-65,34.65,-2252.25,T
ES00109936,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-65,33.9,-2203.5,T
ES00109937,2021-04-02T02:00:00Z,2021-04-02T03:00:00Z,-60,33.57,-2014.2,T
ES00109938,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-35,37.81,-1323.35,T
ES00109939,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-65,37.38,-2429.7,T
ES00109940,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-65,36.63,-2380.95,T
ES00109941,2021-04-02T03:00:00Z,2021-04-02T04:00:00Z,-60,36.24,-2174.4,T
ES00109942,2021-04-02T04:00:00Z,2021-04-02T05:00:00Z,-100,41.53,-4153,T
