Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00018597,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-50,24.55,-1227.5,T
ES00018598,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-200,24.18,-4836,T
ES00018599,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-150,24.1,-3615,T
ES00018600,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-50,21.55,-1077.5,T
ES00018601,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-150,21,-3150,T
ES00018602,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-140,20.7,-2898,T
ES00018603,2019-04-01T02:00:00Z,2019-04-01T03:00:00Z,-200,20.1,-4020,T
ES00018604,2019-04-01T02:00:00Z,2019-04-01T03:00:00Z,-140,20,-2800,T
ES00018605,2019-04-01T03:00:00Z,2019-04-01T04:00:00Z,-100,24.1,-2410,T
ES00018606,2019-04-01T03:00:00Z,2019-04-01T04:00:00Z,-150,24,-3600,T
ES00018607,2019-04-01T03:00:00Z,2019-04-01T04:00:00Z,-50,22.63,-1131.5,T
ES00018608,2019-04-01T04:00:00Z,2019-04-01T05:00:00Z,-50,31.1,-1555,T
ES00018612,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-51,24.69,-1259.19,T
ES00018613,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-130,24.18,-3143.4,T
ES00018614,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-50,24,-1200,T
ES00018615,2019-04-01T00:00:00Z,2019-04-01T01:00:00Z,-29,23.1,-669.9,T
ES00018616,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-30,24,-720,T
ES00018617,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-51,23.31,-1188.81,T
ES00018618,2019-04-01T01:00:00Z,2019-04-01T02:00:00Z,-149,21.6,-3218.4,T
ES00018619,2019-04-01T02:00:00Z,2019-04-01T03:00:00Z,-50,24,-1200,T
ES00018620,2019-04-01T02:00:00Z,2019-04-01T03:00:00Z,-51,23.2,-1183.2,T
ES00018621,2019-04-01T02:00:00Z,2019-04-01T03:00:00Z,-129,21.6,-2786.4,T
ES00018622,2019-04-01T04:00:00Z,2019-04-01T05:00:00Z,-40,36.44,-1457.6,T
ES00018625,2019-04-01T22:00:00Z,2019-04-01T23:00:00Z,-50,25.32,-1266,T
ES00018626,2019-04-01T23:00:00Z,2019-04-02T00:00:00Z,-110,25.12,-2763.2,T
ES00018627,2019-04-02T00:00:00Z,2019-04-02T01:00:00Z,-110,25.98,-2857.8,T
ES00018628,2019-04-02T01:00:00Z,2019-04-02T02:00:00Z,-110,22.47,-2471.7,T
ES00018629,2019-04-02T02:00:00Z,2019-04-02T03:00:00Z,-110,22.47,-2471.7,T
ES00018630,2019-04-02T03:00:00Z,2019-04-02T04:00:00Z,-100,24.59,-2459,T
ES00018631,2019-04-02T03:00:00Z,2019-04-02T04:00:00Z,-10,23.59,-235.9,T
ES00018632,2019-04-01T22:00:00Z,2019-04-01T23:00:00Z,-100,25.5,-2550,F
ES00018633,2019-04-01T23:00:00Z,2019-04-02T00:00:00Z,-100,24.1,-2410,F
