Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00000641,2015-08-05T19:00:00Z,2015-08-06T06:00:00Z,2860,51.75,148005,T
ES00000642,2015-08-05T22:00:00Z,2015-08-06T05:00:00Z,-700,13.5,-9450,T
ES00000643,2015-08-05T22:00:00Z,2015-08-06T05:00:00Z,-350,13.5,-4725,T
ES00000644,2015-08-07T22:00:00Z,2015-08-08T07:00:00Z,-225,19.64,-4419,F
ES00000645,2015-08-08T07:00:00Z,2015-08-08T12:00:00Z,-500,18.79,-9395,T
ES00000646,2015-08-08T07:00:00Z,2015-08-08T12:00:00Z,-500,19.64,-9820,T
ES00000647,2015-08-08T12:30:00Z,2015-08-09T22:00:00Z,-1005,-65.62,65948.1,T
ES00000648,2015-05-10T07:00:00Z,2015-05-10T08:00:00Z,500,36.81,18405,F
ES00000649,2015-05-10T08:00:00Z,2015-05-10T09:00:00Z,500,39.54,19770,F
ES00000650,2015-05-10T18:00:00Z,2015-05-10T19:00:00Z,500,45.08,22540,F
ES00000651,2015-05-10T19:00:00Z,2015-05-10T20:00:00Z,500,45.86,22930,F
ES00000652,2015-05-10T20:00:00Z,2015-05-10T21:00:00Z,500,48,24000,F
ES00000653,2015-05-10T23:00:00Z,2015-05-11T00:00:00Z,500,21.1,10550,F
ES00000654,2015-05-11T00:00:00Z,2015-05-11T01:00:00Z,500,21.09,10545,F
ES00000655,2015-05-11T01:00:00Z,2015-05-11T02:00:00Z,500,20.78,10390,F
ES00000656,2015-05-11T11:00:00Z,2015-05-11T12:00:00Z,500,38.2,19100,F
ES00000657,2015-05-11T12:00:00Z,2015-05-11T13:00:00Z,500,37.09,18545,F
ES00000658,2015-05-11T13:00:00Z,2015-05-11T14:00:00Z,500,36.99,18495,F
ES00000659,2015-05-09T22:30:00Z,2015-05-09T23:00:00Z,-76,-77,5852,T
ES00000660,2015-05-10T22:30:00Z,2015-05-10T23:00:00Z,-1200,14.14,-16968,T
ES00000661,2015-05-10T22:30:00Z,2015-05-10T23:00:00Z,-600,14.14,-8484,T
ES00000662,2015-05-11T22:00:00Z,2015-05-12T05:00:00Z,-1120,14.71,-16475.2,T
ES00000663,2015-05-12T05:00:00Z,2015-05-12T06:00:00Z,-175,14.71,-2574.25,T
ES00000664,2015-05-11T14:30:00Z,2015-05-12T11:00:00Z,-656,-72,47232,T
ES00000665,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,2400,47.2,113280,F
