Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00001691,2016-04-06T22:00:00Z,2016-04-07T05:00:00Z,-1750,7.5,-13125,T
ES00001692,2016-04-07T05:00:00Z,2016-04-07T06:00:00Z,-50,7.5,-375,T
ES00001693,2016-04-07T05:00:00Z,2016-04-07T06:00:00Z,-100,7.5,-750,T
ES00001694,2016-04-09T22:00:00Z,2016-04-10T08:00:00Z,-500,15.14,-7570,T
ES00001695,2016-04-09T22:00:00Z,2016-04-10T08:00:00Z,-250,15.14,-3785,F
ES00001696,2016-04-10T22:30:00Z,2016-04-10T23:00:00Z,-2400,13.39,-32136,T
ES00001697,2016-04-17T15:00:00Z,2016-04-18T11:00:00Z,-760,-77,58520,T
ES00001698,2016-04-17T22:00:00Z,2016-04-18T05:00:00Z,-420,15.25,-6405,T
ES00001699,2016-04-17T22:00:00Z,2016-04-18T05:00:00Z,-210,15.25,-3202.5,T
ES00001700,2016-04-23T22:00:00Z,2016-04-24T08:00:00Z,-250,10.61,-2652.5,F
ES00001701,2016-04-24T22:30:00Z,2016-04-24T23:00:00Z,-800,17.61,-14088,T
ES00001764,2016-04-24T22:30:00Z,2016-04-24T23:00:00Z,-800,17.61,-14088,T
ES00001765,2016-04-26T11:00:00Z,2016-04-26T16:00:00Z,-150,-80,12000,T
ES00001766,2016-05-01T22:30:00Z,2016-05-01T23:00:00Z,-456,-77.01,35116.56,T
ES00001767,2016-04-30T23:00:00Z,2016-05-01T07:00:00Z,-152,-80,12160,T
ES00001768,2016-05-02T22:30:00Z,2016-05-02T23:00:00Z,-1600,18.63,-29808,T
ES00001769,2016-05-02T22:30:00Z,2016-05-02T23:00:00Z,-200,18.63,-3726,F
ES00001770,2016-05-03T08:00:00Z,2016-05-03T12:00:00Z,-76,-77.01,5852.76,T
ES00001771,2016-05-03T22:30:00Z,2016-05-03T23:00:00Z,-58,-80,4640,T
ES00001772,2016-05-04T22:30:00Z,2016-05-04T23:00:00Z,-800,15.74,-12592,T
ES00001773,2016-05-04T22:30:00Z,2016-05-04T23:00:00Z,-400,15.74,-6296,T
ES00001774,2016-05-06T22:00:00Z,2016-05-07T07:00:00Z,-225,12.65,-2846.25,F
ES00001775,2016-05-06T22:00:00Z,2016-05-07T07:00:00Z,2970,42,124740,T
ES00001776,2016-05-07T12:00:00Z,2016-05-07T16:00:00Z,-1200,2,-2400,T
ES00001777,2016-05-07T22:00:00Z,2016-05-08T09:00:00Z,-550,-2,1100,T
ES00001778,2016-05-08T08:00:00Z,2016-05-08T09:00:00Z,-25,-2,50,F
ES00001779,2016-05-07T22:00:00Z,2016-05-08T09:00:00Z,-1100,-2,2200,T
ES00001780,2016-05-08T22:00:00Z,2016-05-09T05:00:00Z,-350,11.11,-3888.5,T
ES00001781,2016-05-08T22:00:00Z,2016-05-09T05:00:00Z,-175,11.11,-1944.25,F
ES00001843,2016-05-08T22:30:00Z,2016-05-08T23:00:00Z,-1600,2,-3200,T
ES00001844,2016-05-13T22:00:00Z,2016-05-14T07:00:00Z,-2700,8.12,-21924,T
ES00001845,2016-05-15T21:00:00Z,2016-05-16T06:00:00Z,-225,17.42,-3919.5,F
ES00001846,2016-05-17T22:30:00Z,2016-05-17T23:00:00Z,-2400,17.1,-41040,T
ES00001847,2016-05-17T22:30:00Z,2016-05-17T23:00:00Z,-200,17.1,-3420,F
ES00001848,2016-05-19T22:30:00Z,2016-05-19T23:00:00Z,-200,16.5,-3300,T
ES00001849,2016-05-19T22:30:00Z,2016-05-19T23:00:00Z,-200,16.5,-3300,F
ES00001850,2016-05-19T23:00:00Z,2016-05-20T05:00:00Z,1980,43.95,87021,T
ES00001851,2016-05-21T06:00:00Z,2016-05-21T07:00:00Z,-400,13.5,-5400,T
ES00001852,2016-05-20T22:00:00Z,2016-05-21T07:00:00Z,-1800,13.5,-24300,T
ES00001853,2016-05-20T22:00:00Z,2016-05-21T07:00:00Z,-225,13.5,-3037.5,F
ES00001854,2016-05-22T07:00:00Z,2016-05-22T08:00:00Z,-100,-6,600,T
ES00001855,2016-05-22T22:00:00Z,2016-05-23T07:00:00Z,-1800,18.18,-32724,T
ES00001856,2016-05-22T22:00:00Z,2016-05-23T07:00:00Z,-900,18.27,-16443,T
ES00001857,2016-05-24T22:00:00Z,2016-05-25T05:00:00Z,1365,73,99645,T
ES00001876,2016-05-24T22:00:00Z,2016-05-25T05:00:00Z,3640,67.5,245700,T
ES00001877,2016-05-24T22:00:00Z,2016-05-25T05:00:00Z,-2800,15,-42000,F
ES00001878,2016-05-27T22:30:00Z,2016-05-27T23:00:00Z,1560,75,117000,T
ES00001879,2016-05-27T22:30:00Z,2016-05-27T23:00:00Z,-2400,17,-40800,T
ES00001880,2016-05-27T22:30:00Z,2016-05-27T23:00:00Z,-1200,17.09,-20508,T
ES00001881,2016-05-27T22:30:00Z,2016-05-27T23:00:00Z,1752,73,127896,T
ES00001882,2016-05-28T11:00:00Z,2016-05-28T16:00:00Z,-250,14.25,-3562.5,T
ES00001883,2016-05-28T11:00:00Z,2016-05-28T16:00:00Z,-125,14.25,-1781.25,T
ES00001884,2016-05-29T11:00:00Z,2016-05-29T16:00:00Z,-500,5.16,-2580,T
ES00001885,2016-05-29T11:00:00Z,2016-05-29T16:00:00Z,-250,16.51,-4127.5,T
ES00001886,2016-05-29T11:00:00Z,2016-05-29T16:00:00Z,-125,16.51,-2063.75,F
ES00001887,2016-05-30T01:00:00Z,2016-05-30T07:00:00Z,-2400,16.54,-39696,F
ES00001888,2016-05-30T01:00:00Z,2016-05-30T07:00:00Z,-900,16.54,-14886,F
ES00001889,2016-05-30T09:00:00Z,2016-05-30T11:00:00Z,-200,24.89,-4978,T
ES00001890,2016-05-30T00:00:00Z,2016-05-30T08:00:00Z,-2400,15.1,-36240,F
ES00001891,2016-05-29T22:00:00Z,2016-05-30T07:00:00Z,1971,68,134028,T
ES00001892,2016-05-29T22:00:00Z,2016-05-30T07:00:00Z,1971,68,134028,T
ES00001933,2016-05-30T23:00:00Z,2016-05-31T06:00:00Z,-5775,7,-40425,F
ES00001934,2016-05-30T22:00:00Z,2016-05-31T07:00:00Z,-2700,14.92,-40284,T
ES00001935,2016-05-30T22:00:00Z,2016-05-31T07:00:00Z,-1350,17.64,-23814,T
ES00001936,2016-05-31T22:00:00Z,2016-06-01T05:00:00Z,1533,74,113442,T
ES00001937,2016-05-31T22:00:00Z,2016-06-01T05:00:00Z,1365,74,101010,T
ES00001938,2016-05-31T22:00:00Z,2016-06-01T05:00:00Z,1365,74,101010,T
ES00001939,2016-06-01T22:00:00Z,2016-06-02T05:00:00Z,1365,74.5,101692.5,T
ES00001940,2016-06-01T22:30:00Z,2016-06-01T23:00:00Z,-3200,13.25,-42400,T
ES00001941,2016-06-01T22:30:00Z,2016-06-01T23:00:00Z,-1600,13.25,-21200,T
ES00001942,2016-06-02T22:30:00Z,2016-06-02T23:00:00Z,-200,18.45,-3690,F
ES00001943,2016-06-02T22:30:00Z,2016-06-02T23:00:00Z,-2944,11,-32384,T
