Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00009309,2018-04-01T00:00:00Z,2018-04-01T06:00:00Z,-300,23.1,-6930,T
ES00009310,2018-04-01T00:00:00Z,2018-04-01T06:00:00Z,-300,28.11,-8433,T
ES00009311,2018-04-01T23:00:00Z,2018-04-02T05:00:00Z,-900,23.65,-21285,T
ES00009312,2018-04-02T05:00:00Z,2018-04-02T06:00:00Z,-100,27.16,-2716,T
ES00009313,2018-04-01T22:00:00Z,2018-04-01T23:00:00Z,-50,32.3,-1615,T
ES00009314,2018-04-01T23:00:00Z,2018-04-02T05:00:00Z,-900,19.3,-17370,T
ES00009315,2018-04-02T06:00:00Z,2018-04-02T08:00:00Z,-100,27.5,-2750,T
ES00009316,2018-04-02T05:00:00Z,2018-04-02T06:00:00Z,-100,24.5,-2450,T
ES00009317,2018-04-02T22:00:00Z,2018-04-02T23:00:00Z,-100,19.06,-1906,T
ES00009318,2018-04-02T23:00:00Z,2018-04-03T05:00:00Z,-900,14.54,-13086,T
ES00009319,2018-04-02T22:00:00Z,2018-04-03T05:00:00Z,-1050,16.9,-17745,T
ES00009320,2018-04-03T02:00:00Z,2018-04-03T05:00:00Z,-150,17.91,-2686.5,T
ES00009321,2018-04-02T23:00:00Z,2018-04-03T05:00:00Z,-2214,12,-26568,T
ES00009322,2018-04-03T22:00:00Z,2018-04-04T06:00:00Z,1920,64,122880,T
ES00009323,2018-04-03T23:00:00Z,2018-04-04T05:00:00Z,-300,20.68,-6204,T
ES00009324,2018-04-03T23:00:00Z,2018-04-04T05:00:00Z,-300,19.25,-5775,T
ES00009325,2018-04-04T22:00:00Z,2018-04-04T23:00:00Z,-50,27.27,-1363.5,T
ES00009326,2018-04-04T23:00:00Z,2018-04-05T05:00:00Z,-600,22.74,-13644,T
ES00009327,2018-04-04T23:00:00Z,2018-04-05T05:00:00Z,-600,22.43,-13458,T
ES00009328,2018-04-04T22:00:00Z,2018-04-04T23:00:00Z,-50,26.71,-1335.5,T
ES00009329,2018-04-04T23:00:00Z,2018-04-05T01:00:00Z,-50,23.35,-1167.5,T
ES00009330,2018-04-04T23:00:00Z,2018-04-05T01:00:00Z,-50,22.51,-1125.5,T
ES00009331,2018-04-04T22:00:00Z,2018-04-05T05:00:00Z,-2583,18,-46494,T
ES00009332,2018-04-04T22:00:00Z,2018-04-05T05:00:00Z,-2534,12,-30408,T
ES00009333,2018-04-04T23:00:00Z,2018-04-05T01:00:00Z,-400,22.61,-9044,F
ES00009334,2018-04-04T23:00:00Z,2018-04-05T01:00:00Z,-400,21.51,-8604,F
ES00009335,2018-04-05T23:00:00Z,2018-04-06T03:00:00Z,-200,24.66,-4932,T
ES00009336,2018-04-05T23:00:00Z,2018-04-06T03:00:00Z,-200,22.65,-4530,T
ES00009337,2018-04-06T02:00:00Z,2018-04-06T05:00:00Z,-150,30.7,-4605,T
ES00009338,2018-04-06T02:00:00Z,2018-04-06T05:00:00Z,-150,28.77,-4315.5,T
ES00009339,2018-04-06T02:00:00Z,2018-04-06T03:00:00Z,-50,24.8,-1240,F
ES00009340,2018-04-06T03:00:00Z,2018-04-06T05:00:00Z,-500,32.1,-16050,F
ES00009341,2018-04-05T23:00:00Z,2018-04-06T05:00:00Z,-2310,18.5,-42735,T
ES00009342,2018-04-06T02:00:00Z,2018-04-06T04:00:00Z,-100,25.07,-2507,T
ES00009343,2018-04-06T22:00:00Z,2018-04-06T23:00:00Z,-50,18.29,-914.5,T
ES00009344,2018-04-06T22:00:00Z,2018-04-06T23:00:00Z,-50,28.34,-1417,T
ES00009345,2018-04-06T23:00:00Z,2018-04-07T04:00:00Z,-500,12.01,-6005,T
ES00009346,2018-04-06T23:00:00Z,2018-04-07T04:00:00Z,-500,23.55,-11775,T
ES00009347,2018-04-07T04:00:00Z,2018-04-07T05:00:00Z,-50,16.04,-802,T
ES00009348,2018-04-07T04:00:00Z,2018-04-07T05:00:00Z,-50,27.32,-1366,T
ES00009349,2018-04-09T22:00:00Z,2018-04-09T23:00:00Z,-50,28.86,-1443,T
ES00009350,2018-04-09T22:00:00Z,2018-04-09T23:00:00Z,-50,28.64,-1432,T
ES00009351,2018-04-09T23:00:00Z,2018-04-10T04:00:00Z,-500,24.89,-12445,T
ES00009352,2018-04-09T23:00:00Z,2018-04-10T04:00:00Z,-500,24.67,-12335,T
ES00009353,2018-04-10T04:00:00Z,2018-04-10T05:00:00Z,-100,35.7,-3570,T
ES00009354,2018-04-10T04:00:00Z,2018-04-10T05:00:00Z,-100,33.5,-3350,T
ES00009355,2018-04-09T23:00:00Z,2018-04-10T05:30:00Z,1430,67,95810,T
ES00009356,2018-04-10T22:00:00Z,2018-04-11T05:30:00Z,1650,66,108900,T
ES00009357,2018-04-11T23:00:00Z,2018-04-12T05:00:00Z,-180,28.87,-5196.6,T
ES00009358,2018-04-11T23:00:00Z,2018-04-12T05:00:00Z,-180,22,-3960,T
ES00009360,2018-04-14T23:00:00Z,2018-04-15T07:00:00Z,-400,22.48,-8992,T
ES00009361,2018-04-14T23:00:00Z,2018-04-15T07:00:00Z,-400,24.55,-9820,T
ES00009362,2018-04-16T02:00:00Z,2018-04-16T05:00:00Z,-300,32.95,-9885,T
ES00009363,2018-04-16T02:00:00Z,2018-04-16T05:00:00Z,-300,32.9,-9870,T
ES00009364,2018-04-15T21:00:00Z,2018-04-15T22:00:00Z,-20,31.11,-622.2,T
ES00009365,2018-04-15T21:00:00Z,2018-04-15T22:00:00Z,-20,30.25,-605,T
ES00009366,2018-04-15T22:00:00Z,2018-04-16T05:00:00Z,-350,29.87,-10454.5,T
ES00009367,2018-04-15T22:00:00Z,2018-04-16T05:00:00Z,-350,31.89,-11161.5,T
ES00009368,2018-04-15T22:00:00Z,2018-04-16T02:00:00Z,-400,30.85,-12340,T
ES00009369,2018-04-15T22:00:00Z,2018-04-16T02:00:00Z,-400,30.85,-12340,T
ES00009370,2018-04-15T22:00:00Z,2018-04-16T04:00:00Z,-150,29.17,-4375.5,T
ES00009371,2018-04-15T22:00:00Z,2018-04-16T04:00:00Z,-150,28.35,-4252.5,T
ES00009372,2018-04-16T16:30:00Z,2018-04-16T20:30:00Z,920,151,138920,T
ES00009373,2018-04-16T22:00:00Z,2018-04-17T04:00:00Z,-600,30.35,-18210,T
ES00009374,2018-04-16T22:00:00Z,2018-04-17T04:00:00Z,-600,30.17,-18102,T
ES00009375,2018-04-16T21:00:00Z,2018-04-16T22:00:00Z,-50,38,-1900,T
ES00009376,2018-04-16T21:00:00Z,2018-04-16T22:00:00Z,-50,34.76,-1738,T
ES00009377,2018-04-16T21:00:00Z,2018-04-17T11:00:00Z,-301,-80,24080,T
ES00009378,2018-04-16T21:00:00Z,2018-04-17T11:00:00Z,-448,-69.14,30974.72,T
ES00009379,2018-04-16T21:00:00Z,2018-04-17T11:00:00Z,-420,-69.14,29038.8,T
ES00009380,2018-04-16T21:00:00Z,2018-04-17T11:00:00Z,-210,-69.14,14519.4,T
ES00009381,2018-04-16T22:00:00Z,2018-04-16T23:00:00Z,-100,30.11,-3011,T
ES00009382,2018-04-16T22:00:00Z,2018-04-16T23:00:00Z,-100,29.31,-2931,T
ES00009383,2018-04-16T23:00:00Z,2018-04-17T03:00:00Z,-600,29.22,-17532,T
ES00009384,2018-04-16T23:00:00Z,2018-04-17T02:00:00Z,-450,28.05,-12622.5,T
ES00009385,2018-04-17T01:00:00Z,2018-04-17T04:00:00Z,-900,29,-26100,F
