Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00053425,2020-04-01T00:00:00Z,2020-04-01T01:00:00Z,-200,16.22,-3244,T
ES00053426,2020-04-01T01:00:00Z,2020-04-01T02:00:00Z,-200,15.85,-3170,T
ES00053427,2020-04-01T02:00:00Z,2020-04-01T03:00:00Z,-200,15.9,-3180,T
ES00053428,2020-04-01T03:00:00Z,2020-04-01T04:00:00Z,-200,17.16,-3432,T
ES00053429,2020-04-01T04:00:00Z,2020-04-01T05:00:00Z,-100,21.23,-2123,T
ES00053432,2020-04-01T00:00:00Z,2020-04-01T01:00:00Z,-160,16.12,-2579.2,T
ES00053433,2020-04-01T01:00:00Z,2020-04-01T02:00:00Z,-100,15.76,-1576,T
ES00053434,2020-04-01T02:00:00Z,2020-04-01T03:00:00Z,-100,15.81,-1581,T
ES00053435,2020-04-01T03:00:00Z,2020-04-01T04:00:00Z,-100,17.06,-1706,T
ES00053436,2020-04-01T04:00:00Z,2020-04-01T05:00:00Z,-50,21.1,-1055,T
ES00053439,2020-04-01T00:00:00Z,2020-04-01T01:00:00Z,-100,15.72,-1572,T
ES00053440,2020-04-01T01:00:00Z,2020-04-01T02:00:00Z,-100,15.35,-1535,T
ES00053441,2020-04-01T02:00:00Z,2020-04-01T03:00:00Z,-100,15.4,-1540,T
ES00053442,2020-04-01T03:00:00Z,2020-04-01T04:00:00Z,-100,16.66,-1666,T
ES00053443,2020-04-01T04:00:00Z,2020-04-01T05:00:00Z,-50,20.73,-1036.5,T
ES00053444,2020-04-01T21:00:00Z,2020-04-01T22:00:00Z,-200,20.03,-4006,T
ES00053445,2020-04-01T21:00:00Z,2020-04-01T22:00:00Z,-50,19.59,-979.5,T
ES00053446,2020-04-01T21:00:00Z,2020-04-01T22:00:00Z,-50,18.79,-939.5,T
ES00053447,2020-04-01T21:00:00Z,2020-04-01T22:00:00Z,-50,17.91,-895.5,T
ES00053448,2020-04-01T21:00:00Z,2020-04-01T22:00:00Z,-50,17.25,-862.5,T
ES00053449,2020-04-01T22:00:00Z,2020-04-01T23:00:00Z,-200,19.07,-3814,T
ES00053450,2020-04-01T22:00:00Z,2020-04-01T23:00:00Z,-125,18.95,-2368.75,T
ES00053451,2020-04-01T22:00:00Z,2020-04-01T23:00:00Z,-175,18.94,-3314.5,T
ES00053452,2020-04-01T23:00:00Z,2020-04-02T00:00:00Z,-200,17.99,-3598,T
ES00053453,2020-04-01T23:00:00Z,2020-04-02T00:00:00Z,-125,17.84,-2230,T
ES00053454,2020-04-01T23:00:00Z,2020-04-02T00:00:00Z,-200,17.82,-3564,T
ES00053455,2020-04-01T23:00:00Z,2020-04-02T00:00:00Z,-75,17.52,-1314,T
ES00053456,2020-04-02T00:00:00Z,2020-04-02T01:00:00Z,-200,17.02,-3404,T
ES00053457,2020-04-02T00:00:00Z,2020-04-02T01:00:00Z,-200,16.87,-3374,T
ES00053458,2020-04-02T00:00:00Z,2020-04-02T01:00:00Z,-125,16.85,-2106.25,T
ES00053459,2020-04-02T00:00:00Z,2020-04-02T01:00:00Z,-75,16.52,-1239,T
ES00053460,2020-04-02T01:00:00Z,2020-04-02T02:00:00Z,-200,16.3,-3260,T
ES00053461,2020-04-02T01:00:00Z,2020-04-02T02:00:00Z,-200,16.18,-3236,T
ES00053462,2020-04-02T01:00:00Z,2020-04-02T02:00:00Z,-125,16.11,-2013.75,T
ES00053463,2020-04-02T01:00:00Z,2020-04-02T02:00:00Z,-75,16.02,-1201.5,T
ES00053464,2020-04-02T02:00:00Z,2020-04-02T03:00:00Z,-200,16.16,-3232,T
ES00053465,2020-04-02T02:00:00Z,2020-04-02T03:00:00Z,-100,16.02,-1602,T
ES00053466,2020-04-02T02:00:00Z,2020-04-02T03:00:00Z,-200,16.01,-3202,T
ES00053467,2020-04-02T02:00:00Z,2020-04-02T03:00:00Z,-100,15.96,-1596,T
ES00053468,2020-04-02T03:00:00Z,2020-04-02T04:00:00Z,-200,17.67,-3534,T
ES00053469,2020-04-02T03:00:00Z,2020-04-02T04:00:00Z,-140,17.56,-2458.4,T
ES00053470,2020-04-02T05:00:00Z,2020-04-02T06:00:00Z,-200,21.76,-4352,T
ES00053471,2020-04-02T05:00:00Z,2020-04-02T06:00:00Z,-200,21.62,-4324,T
ES00053472,2020-04-02T05:00:00Z,2020-04-02T06:00:00Z,-75,21.52,-1614,T
ES00053473,2020-04-02T05:00:00Z,2020-04-02T06:00:00Z,-25,21.44,-536,T
ES00053474,2020-04-02T06:00:00Z,2020-04-02T07:00:00Z,-200,22.18,-4436,T
ES00053475,2020-04-02T06:00:00Z,2020-04-02T07:00:00Z,-200,22.06,-4412,T
ES00053476,2020-04-02T06:00:00Z,2020-04-02T07:00:00Z,-100,21.87,-2187,T
ES00053477,2020-04-02T07:00:00Z,2020-04-02T08:00:00Z,-200,19.77,-3954,T
ES00053478,2020-04-02T07:00:00Z,2020-04-02T08:00:00Z,-200,19.63,-3926,T
ES00053479,2020-04-02T07:00:00Z,2020-04-02T08:00:00Z,-100,19.4,-1940,T
ES00053480,2020-04-02T08:00:00Z,2020-04-02T09:00:00Z,-200,16.73,-3346,T
ES00053481,2020-04-02T08:00:00Z,2020-04-02T09:00:00Z,-200,16.61,-3322,T
ES00053482,2020-04-02T08:00:00Z,2020-04-02T09:00:00Z,-100,16.52,-1652,T
ES00053483,2020-04-02T08:00:00Z,2020-04-02T09:00:00Z,-100,16.28,-1628,T
ES00053484,2020-04-02T09:00:00Z,2020-04-02T10:00:00Z,-100,16.02,-1602,T
ES00053485,2020-04-02T09:00:00Z,2020-04-02T10:00:00Z,-200,15.89,-3178,T
ES00053486,2020-04-02T09:00:00Z,2020-04-02T10:00:00Z,-125,15.43,-1928.75,T
ES00053487,2020-04-02T09:00:00Z,2020-04-02T10:00:00Z,-175,14.75,-2581.25,T
ES00053488,2020-04-02T10:00:00Z,2020-04-02T11:00:00Z,-100,16.52,-1652,T
ES00053489,2020-04-02T10:00:00Z,2020-04-02T11:00:00Z,-200,16.41,-3282,T
ES00053490,2020-04-02T10:00:00Z,2020-04-02T11:00:00Z,-125,15.96,-1995,T
ES00053491,2020-04-02T10:00:00Z,2020-04-02T11:00:00Z,-175,15.27,-2672.25,T
ES00053492,2020-04-02T11:00:00Z,2020-04-02T12:00:00Z,-200,11.6,-2320,T
ES00053493,2020-04-02T11:00:00Z,2020-04-02T12:00:00Z,-100,11.52,-1152,T
ES00053494,2020-04-02T11:00:00Z,2020-04-02T12:00:00Z,-125,11.03,-1378.75,T
ES00053495,2020-04-02T11:00:00Z,2020-04-02T12:00:00Z,-175,10.42,-1823.5,T
ES00053496,2020-04-01T22:00:00Z,2020-04-01T23:00:00Z,-100,15.92,-1592,T
